Audio activity timing — One-Tap-Telco-Full-Video-with-audio-v7.mp4
Total duration: 6:05.17

Method: ffmpeg silencedetect (noise floor -30dB, min silence gap 0.4s).
This detects any audio above the noise floor (voice, UI sound effects, notification
chimes, music) — it does NOT distinguish speech from other sounds and contains no words.
Gaps under 0.4s were treated as part of the same segment (mouth/word pauses don't split a block).

Start    - End       Duration
0:00.00 - 0:05.86  (5.86s)
0:06.44 - 0:10.87  (4.43s)
0:11.52 - 0:13.58  (2.06s)
0:14.45 - 0:17.90  (3.45s)
0:18.52 - 0:24.07  (5.55s)
0:24.71 - 0:27.71  (3.01s)
0:28.37 - 0:34.54  (6.17s)
0:35.61 - 0:36.54  (0.93s)
0:38.27 - 0:43.90  (5.63s)
0:44.95 - 0:45.39  (0.44s)
0:46.71 - 0:47.02  (0.31s)
0:50.08 - 0:53.98  (3.91s)
0:57.91 - 0:59.60  (1.69s)
1:23.64 - 1:31.58  (7.94s)
1:32.18 - 1:35.42  (3.24s)
1:36.02 - 1:45.13  (9.12s)
1:45.99 - 1:49.29  (3.31s)
1:50.01 - 1:51.26  (1.25s)
1:51.90 - 1:53.36  (1.46s)
1:53.82 - 1:56.04  (2.22s)
1:56.47 - 1:59.13  (2.66s)
1:59.91 - 2:04.84  (4.93s)
2:05.26 - 2:09.03  (3.77s)
2:09.52 - 2:11.83  (2.31s)
2:12.36 - 2:16.72  (4.36s)
2:17.27 - 2:26.03  (8.76s)
2:26.45 - 2:37.98  (11.53s)
2:38.42 - 2:43.36  (4.94s)
2:43.96 - 2:50.70  (6.74s)
2:51.34 - 2:56.83  (5.49s)
2:57.58 - 3:00.62  (3.04s)
3:01.20 - 3:04.90  (3.70s)
3:05.52 - 3:08.52  (3.00s)
3:08.95 - 3:12.32  (3.37s)
3:12.98 - 3:17.77  (4.79s)
3:18.61 - 3:25.04  (6.42s)
3:25.80 - 3:27.34  (1.54s)
3:27.74 - 3:32.95  (5.21s)
3:33.68 - 3:37.62  (3.94s)
3:38.27 - 3:40.63  (2.35s)
3:41.73 - 3:44.47  (2.74s)
3:45.16 - 3:51.33  (6.17s)
3:52.07 - 3:56.37  (4.30s)
3:56.81 - 3:59.13  (2.33s)
3:59.56 - 4:01.16  (1.60s)
4:01.78 - 4:02.22  (0.44s)
4:03.38 - 4:09.26  (5.88s)
4:09.78 - 4:11.00  (1.22s)
4:11.48 - 4:12.79  (1.31s)
4:13.20 - 4:14.74  (1.54s)
4:15.14 - 4:20.03  (4.89s)
4:20.67 - 4:27.67  (7.00s)
4:28.19 - 4:34.00  (5.81s)
4:34.53 - 4:37.40  (2.87s)
4:37.99 - 4:40.50  (2.51s)
4:43.48 - 4:47.02  (3.54s)
4:47.51 - 4:50.55  (3.04s)
4:51.22 - 4:52.09  (0.87s)
4:52.57 - 4:55.74  (3.17s)
4:56.61 - 5:05.30  (8.70s)
5:05.73 - 5:14.13  (8.39s)
5:14.63 - 5:18.58  (3.95s)
5:19.02 - 5:27.48  (8.45s)
5:28.06 - 5:33.16  (5.10s)
5:33.57 - 5:38.91  (5.33s)
5:39.32 - 5:43.56  (4.24s)
5:44.38 - 5:46.00  (1.63s)
5:46.59 - 5:48.54  (1.95s)
5:49.30 - 5:53.68  (4.39s)
5:54.23 - 5:57.79  (3.56s)
5:58.20 - 5:59.51  (1.31s)
5:59.97 - 6:00.71  (0.73s)
6:01.23 - 6:02.76  (1.53s)
6:03.19 - 6:04.48  (1.29s)

Note the one long silent stretch: 0:59.60 - 1:23.64 (24.04s) — no audio activity at all in that
window (matches memory: only scene1/2/4/5 are voiced; there may be a visual-only stretch here).
